project_name,domain,difficulty,required_skills,estimated_time,popularity,tags
Social Media App,Web Development,Advanced,"SQL, PostgreSQL",38,8,"social, media"
Social Media App,AI/ML,Intermediate,"TensorFlow, Keras",12,10,"chatbot, NLP"
Chatbot,Mobile App Development,Advanced,"PHP, Laravel",39,3,"social, media"
Recipe Finder,Mobile App Development,Intermediate,"Ruby, Rails",16,4,"social, media"
Crypto Tracker,Data Science,Intermediate,"TensorFlow, Keras",14,3,"e-commerce, web"
Web Portfolio,Cybersecurity,Beginner,"Python, Pandas, NumPy",36,10,"crypto, tracker"
Weather App,AI/ML,Advanced,"JavaScript, Node.js, Express",9,6,"e-commerce, web"
Web Portfolio,AI/ML,Advanced,"Python, NLP, Flask",5,8,"crypto, tracker"
Recipe Finder,Cybersecurity,Intermediate,"PHP, Laravel",7,8,"social, media"
To-Do App,Cybersecurity,Advanced,"TensorFlow, Keras",36,8,"blog, platform"
E-commerce Website,Mobile App Development,Beginner,"React, Django",36,4,"e-commerce, web"
Stock Predictor,Web Development,Beginner,"Java, Android Studio",22,8,"portfolio, web"
Recipe Finder,Cybersecurity,Beginner,"React, Django",38,6,"e-commerce, web"
Recipe Finder,Data Science,Intermediate,"Python, NLP, Flask",5,6,"weather, app"
Chatbot,Mobile App Development,Beginner,"React, Django",7,6,"crypto, tracker"
E-commerce Website,Cybersecurity,Beginner,"SQL, PostgreSQL",14,1,"mobile, to-do"
Stock Predictor,Mobile App Development,Beginner,"React, Django",28,5,"crypto, tracker"
To-Do App,Cybersecurity,Beginner,"PHP, Laravel",37,3,"weather, app"
E-commerce Website,Cybersecurity,Advanced,"Python, NLP, Flask",33,4,"e-commerce, web"
Crypto Tracker,Data Science,Intermediate,"JavaScript, Node.js, Express",30,9,"chatbot, NLP"
Stock Predictor,Mobile App Development,Beginner,"JavaScript, Node.js, Express",14,4,"portfolio, web"
Chatbot,Web Development,Beginner,"React, Django",25,9,"weather, app"
Weather App,Cybersecurity,Advanced,"PHP, Laravel",24,2,"chatbot, NLP"
Stock Predictor,Cybersecurity,Advanced,"PHP, Laravel",40,1,"weather, app"
E-commerce Website,Mobile App Development,Intermediate,"Python, Pandas, NumPy",17,9,"chatbot, NLP"
E-commerce Website,AI/ML,Intermediate,"React, Django",10,4,"chatbot, NLP"
Recipe Finder,Cybersecurity,Beginner,"HTML, CSS, Flask",34,4,"weather, app"
E-commerce Website,Web Development,Beginner,"Java, Android Studio",19,8,"finance, stock"
Weather App,AI/ML,Intermediate,"JavaScript, Node.js, Express",21,9,"social, media"
To-Do App,AI/ML,Beginner,"TensorFlow, Keras",14,9,"crypto, tracker"
Crypto Tracker,AI/ML,Advanced,"SQL, PostgreSQL",27,4,"e-commerce, web"
Web Portfolio,Web Development,Intermediate,"PHP, Laravel",30,7,"portfolio, web"
Recipe Finder,AI/ML,Beginner,"Python, Pandas, NumPy",12,4,"social, media"
Recipe Finder,Mobile App Development,Beginner,"JavaScript, Node.js, Express",17,7,"mobile, to-do"
To-Do App,AI/ML,Advanced,"Python, NLP, Flask",37,4,"weather, app"
Blog Platform,Mobile App Development,Intermediate,"SQL, PostgreSQL",11,10,"e-commerce, web"
Crypto Tracker,AI/ML,Beginner,"PHP, Laravel",31,3,"mobile, to-do"
Stock Predictor,Mobile App Development,Advanced,"HTML, CSS, Flask",15,2,"blog, platform"
Web Portfolio,AI/ML,Intermediate,"SQL, PostgreSQL",36,9,"mobile, to-do"
Chatbot,Data Science,Advanced,"JavaScript, Node.js, Express",7,6,"recipe, finder"
Blog Platform,Cybersecurity,Intermediate,"HTML, CSS, Flask",10,7,"weather, app"
Blog Platform,AI/ML,Advanced,"Ruby, Rails",40,8,"chatbot, NLP"
Web Portfolio,Cybersecurity,Intermediate,"JavaScript, Node.js, Express",27,9,"crypto, tracker"
Web Portfolio,Web Development,Beginner,"PHP, Laravel",23,7,"social, media"
Social Media App,Web Development,Intermediate,"PHP, Laravel",16,10,"weather, app"
E-commerce Website,AI/ML,Intermediate,"JavaScript, Node.js, Express",30,6,"portfolio, web"
Social Media App,Web Development,Advanced,"React, Django",24,8,"crypto, tracker"
E-commerce Website,Cybersecurity,Advanced,"PHP, Laravel",7,4,"e-commerce, web"
Weather App,Cybersecurity,Intermediate,"Java, Android Studio",5,7,"social, media"
Social Media App,Cybersecurity,Beginner,"Ruby, Rails",14,7,"weather, app"
Stock Predictor,Data Science,Intermediate,"Python, Pandas, NumPy",25,7,"e-commerce, web"
Social Media App,Cybersecurity,Intermediate,"HTML, CSS, Flask",35,4,"mobile, to-do"
Chatbot,Mobile App Development,Intermediate,"React, Django",25,6,"recipe, finder"
Social Media App,Mobile App Development,Advanced,"Java, Android Studio",20,10,"portfolio, web"
Web Portfolio,Mobile App Development,Advanced,"PHP, Laravel",8,8,"mobile, to-do"
Social Media App,AI/ML,Advanced,"Python, Pandas, NumPy",37,2,"e-commerce, web"
Weather App,AI/ML,Advanced,"JavaScript, Node.js, Express",24,9,"portfolio, web"
Social Media App,Data Science,Advanced,"Python, NLP, Flask",23,7,"social, media"
To-Do App,Web Development,Advanced,"SQL, PostgreSQL",35,4,"finance, stock"
Blog Platform,Mobile App Development,Advanced,"Python, Pandas, NumPy",31,3,"social, media"
Blog Platform,Mobile App Development,Advanced,"TensorFlow, Keras",37,10,"chatbot, NLP"
Weather App,Web Development,Beginner,"Ruby, Rails",13,2,"blog, platform"
Social Media App,AI/ML,Advanced,"TensorFlow, Keras",11,6,"chatbot, NLP"
Stock Predictor,Data Science,Beginner,"TensorFlow, Keras",22,6,"portfolio, web"
Weather App,AI/ML,Beginner,"HTML, CSS, Flask",40,8,"recipe, finder"
Web Portfolio,AI/ML,Advanced,"Java, Android Studio",9,8,"social, media"
Social Media App,AI/ML,Advanced,"Java, Android Studio",18,1,"e-commerce, web"
Weather App,Data Science,Intermediate,"TensorFlow, Keras",11,2,"blog, platform"
Web Portfolio,AI/ML,Beginner,"Ruby, Rails",32,6,"crypto, tracker"
Blog Platform,Mobile App Development,Intermediate,"Python, NLP, Flask",22,6,"crypto, tracker"
Crypto Tracker,Data Science,Advanced,"Python, NLP, Flask",11,4,"social, media"
Crypto Tracker,Cybersecurity,Advanced,"HTML, CSS, Flask",11,9,"mobile, to-do"
Weather App,AI/ML,Intermediate,"HTML, CSS, Flask",36,7,"portfolio, web"
Stock Predictor,Cybersecurity,Advanced,"HTML, CSS, Flask",18,10,"recipe, finder"
E-commerce Website,Web Development,Beginner,"TensorFlow, Keras",29,1,"blog, platform"
To-Do App,AI/ML,Intermediate,"Python, NLP, Flask",17,6,"mobile, to-do"
E-commerce Website,Cybersecurity,Advanced,"JavaScript, Node.js, Express",27,1,"blog, platform"
